No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
109, GJ02-258711, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 72.0, , 14.0, , 14.0, 0.82, , 
110, GJ02-259428, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 73.3, , , , 26.7, 0.96, , 
111, GJ02-259429, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 69.5, 5.4, , , 25.1, 0.95, , 
112, GJ02-259430, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 66.3, 10.3, , , 23.4, 0.9, , 
113, GJ02-259431, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 61.1, 15.5, , , 23.4, 0.91, , 
114, GJ02-259432, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 53.7, 20.9, , , 25.4, 0.88, , 
115, GJ02-259433, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 49.1, 25.4, , , 25.5, 0.86, , 
116, GJ02-259434, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 45.1, 30.0, , , 24.9, 0.875, , 
117, GJ02-259435, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 41.74, 32.53, , , 25.73, 0.87, , 
118, GJ02-259436, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 70.73, 0.4, 5.89, 10.19, 12.79, 0.7, , 
119, GJ02-259437, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 79.8, 2.02, 4.04, 1.01, 13.13, 0.71, , 
120, GJ02-259439, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 71.0, , , 11.5, 17.5, 0.71, , 
121, GJ02-259440, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 80.0, , , 7.9, 12.1, 0.73, , 
122, GJ03-259441, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 41.9, 16.2, , 41.9, , 0.7, , 
123, GJ02-292282, Glass Physics & Chemistry, 2009, v. 035  p. 0369, 74.69, 1.22, , 10.01, 14.08, 1.19, , 
124, GJ02-298020, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 10.0, 15.0, 0.72, , 
125, GJ02-298021, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , 2.5, 7.5, 15.0, 0.74, , 
126, GJ02-298022, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , 3.75, 6.25, 15.0, 0.76, , 
127, GJ02-298023, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , 5.0, 5.0, 15.0, 0.77, , 
128, GJ02-298024, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , 5.5, 4.5, 15.0, 0.79, , 
129, GJ02-298025, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , 6.25, 3.75, 15.0, 0.86, , 
130, GJ02-298026, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , 7.0, 3.0, 15.0, 0.9, , 
131, GJ02-298027, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , 7.5, 2.5, 15.0, 0.93, , 
132, GJ02-298028, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , 10.0, , 15.0, 1.07, , 
133, GJ02-298046, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , 15.0, 20.0, 0.73, , 
134, GJ02-298053, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 10.0, 15.0, 0.64, , 
135, GJ02-298054, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , 15.0, 15.0, 0.68, , 
136, GJ02-298055, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 66.7, , , 8.3, 25.0, 0.74, , 
137, GJ02-298056, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 66.64, , , 16.68, 16.68, 0.7, , 
138, GJ02-298057, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 66.7, , , , 33.3, 0.97, , 
139, GJ02-308379, J. Non-Crystalline Solids, 2012, v. 358  p. 001474, 60.0, , , , 40.0, 0.8, , 
140, GJ02-359445, J. Non-Crystalline Solids, 2015, v. 429  p. 0190, 73.84, 1.49, 2.83, 8.25, 13.58, 0.78, , 
141, GJ06-367952, Int. J. Applied Glass Science, 2015, v. 006  p. 0210, 60.0, 20.0, 20.0, , , 1.16, , 
142, GJ06-367959, Int. J. Applied Glass Science, 2015, v. 006  p. 0210, 60.0, 20.0, 10.0, 10.0, , 0.99, , 
143, GJ06-367975, Int. J. Applied Glass Science, 2015, v. 006  p. 0210, 60.0, 20.0, , , 20.0, 0.57, , 
144, GJ06-367977, Int. J. Applied Glass Science, 2015, v. 006  p. 0210, 60.0, 20.0, , , 20.0, 0.93, , 
145, GJ02-368433, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 73.82, , , 11.19, 14.99, 0.69, , 
146, GJ03-368860, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 76.3, 11.7, , 12.0, , 1.38, , 
147, GJ03-368861, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 73.1, 13.2, , 13.7, , 1.4, , 
148, GJ03-368862, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 69.5, 15.0, , 15.5, , 1.34, , 
149, GJ03-368863, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 66.0, 16.7, , 17.3, , 1.36, , 
150, GJ03-368864, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 66.0, 16.7, , 17.3, , 1.3, , 
151, GJ03-368865, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 59.5, 20.1, , 20.4, , 1.32, , 
152, GJ03-368866, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 56.4, 21.7, , 21.9, , 1.26, , 
153, GJ03-368867, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 53.96, 22.52, , 23.52, , 1.27, , 
154, GJ03-368868, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 53.96, 22.52, , 23.52, , 1.22, , 
155, GJ03-368869, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 47.9, 25.7, , 26.4, , 1.28, , 
156, GJ03-368870, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 45.3, 27.1, , 27.6, , 1.3, , 
157, GJ03-368871, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 42.7, 28.4, , 28.9, , 1.24, , 
158, GJ03-368872, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 40.5, 29.6, , 29.9, , 1.26, , 
159, GJ03-368873, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 37.7, 31.1, , 31.2, , 1.21, , 
160, GJ03-368874, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 35.2, 32.3, , 32.5, , 1.22, , 
161, GJ03-368875, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 69.77, 5.91, , 24.32, , 1.18, , 
162, GJ03-368876, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 69.47, 8.91, , 21.62, , 1.32, , 
163, GJ03-368877, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 69.4, 10.4, , 20.2, , 1.25, , 
164, GJ03-368878, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 69.67, 11.81, , 18.52, , 1.41, , 
165, GJ03-368879, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 69.4, 13.4, , 17.2, , 1.33, , 
166, GJ03-368880, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 69.6, 14.8, , 15.6, , 1.52, , 
167, GJ06-368881, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 69.8, 17.7, , 12.5, , 1.55, , 
168, GJ03-368882, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 35.2, 19.6, , 45.2, , 1.08, , 
169, GJ03-368883, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 36.3, 22.2, , 41.5, , 1.09, , 
170, GJ03-368884, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 35.6, 28.4, , 36.0, , 1.15, , 
171, GJ03-368885, J. Non-Crystalline Solids, 2016, v. 434  p. 0001, 33.2, 33.1, , 33.7, , 1.29, , 
172, GJ03-368942, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, 49.8, , 8.52, 41.68, , 0.97, , 
173, GJ03-368943, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, 50.95, , 16.42, 32.63, , 0.71, , 
174, GJ03-368944, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, 50.55, , 24.37, 25.08, , 0.83, , 
175, GJ03-368945, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, 50.2, , 33.1, 16.7, , 0.73, , 
176, GJ03-368946, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, 50.1, , 35.7, 14.2, , 0.92, , 
177, GJ03-368947, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, 48.94, , 37.29, 13.77, , 0.96, , 
178, GJ03-368948, J. Non-Crystalline Solids, 2017, v. 460  p. 0006, 53.1, , 39.22, 7.68, , 0.83, , 
179, GJ02-381585, Ceramics - Silikaty, 2011, v. 055  p. 0214, 71.48, 1.11, 5.91, 7.1, 14.4, 0.75, , 
180, GJ02-381635, Ceramics - Silikaty, 2013, v. 057  p. 0039, 71.48, 1.11, 5.91, 7.1, 14.4, 0.75, , 
181, GJ03-392943, J. American Ceramic Soc., 2017, v. 100  p. 4347, 71.0, , 6.0, 10.0, 13.0, 0.7, , 
182, GP03-395852, Japanese Patent    AGC (J), 2018, A104285, 68.0, 10.0, 14.0, , 8.0, 0.84, , 
183, GP06-395854, Japanese Patent    AGC (J), 2018, A104285, 50.0, 30.0, 10.0, , 10.0, 0.87, , 
184, GJ02-397633, J. American Ceramic Soc., 2019, v. 102  p. 4520, 50.0, 25.0, , , 25.0, 0.56, , 
185, GJ03-400890, Int. J. Applied Glass Science, 2020, v. 011  p. 0195, 71.78, 0.58, 5.86, 8.43, 13.35, 0.5, , 
186, GJ02-401554, J. Non-Crystalline Solids, 2020, a. 119946, 80.0, , , , 20.0, 0.7, , 
187, GJ03-401556, J. Non-Crystalline Solids, 2020, a. 119946, 71.0, , 6.0, 10.0, 13.0, 0.73, , 
