"xi", "ai", "Std. Error", "t Value"
"SiO2*TiO2", "-1.602E+03", "4.361E+02", "-3.672"
"SiO2*P2O5", "5.272E+02", "2.664E+02", "1.979"
"SiO2*Nb2O5", "-1.864E+04", "8.762E+03", "-2.128"
"B2O3*Al2O3", "5.170E+04", "3.904E+04", "1.324"
"B2O3*MgO", "1.081E+05", "4.551E+04", "2.374"
"B2O3*CaO", "-6.740E+03", "1.819E+04", "-3.705E-01"
"B2O3*Na2O", "3.463E+04", "2.508E+04", "1.38"
"B2O3*ZnO", "1.460E+05", "7.496E+04", "1.948"
"B2O3*Fe2O3", "5.238E+06", "2.326E+06", "2.251"
"B2O3*ZrO2", "1.145E+05", "1.253E+05", "9.135E-01"
"B2O3*BaO", "-1.327E+05", "1.092E+05", "-1.216"
"B2O3*Li2O", "-3.891E+04", "8.159E+04", "-4.770E-01"
"B2O3*K2O", "9.335E+04", "8.166E+04", "1.143"
"B2O3*SrO", "5.378E+04", "5.635E+04", "9.544E-01"
"B2O3*Sb2O3", "5.382E+05", "3.309E+06", "1.627E-01"
"B2O3*TiO2", "-3.735E+04", "4.741E+04", "-7.879E-01"
"B2O3*P2O5", "-6.071E+04", "3.876E+04", "-1.566"
"B2O3*Nb2O5", "-7.730E+05", "3.630E+05", "-2.13"
"Al2O3*MgO", "7.396E+03", "4.870E+03", "1.519"
"Al2O3*CaO", "-1.578E+02", "3.391E+02", "-4.655E-01"
"Al2O3*Na2O", "-2.971E+03", "1.340E+03", "-2.218"
"Al2O3*ZnO", "-7.507E+03", "3.635E+03", "-2.066"
"Al2O3*Fe2O3", "6.676E+03", "2.913E+03", "2.292"
"Al2O3*ZrO2", "3.147E+04", "3.580E+04", "8.791E-01"
"Al2O3*BaO", "1.382E+04", "3.519E+03", "3.928"
"Al2O3*Li2O", "5.363E+03", "5.938E+03", "9.032E-01"
"Al2O3*K2O", "-7.272E+04", "1.696E+04", "-4.287"
"Al2O3*SrO", "1.109E+03", "1.639E+03", "6.770E-01"
"Al2O3*Sb2O3", "6.613E+05", "2.012E+05", "3.286"
"Al2O3*La2O3", "9.213E+03", "3.484E+04", "2.645E-01"
"Al2O3*TiO2", "2.144E+04", "1.003E+04", "2.138"
"Al2O3*P2O5", "-3.253E+03", "9.780E+02", "-3.326"
"Al2O3*Nb2O5", "-4.264E+04", "8.948E+04", "-4.765E-01"
"MgO*CaO", "-6.340E+03", "1.624E+03", "-3.905"
"MgO*Na2O", "9.828E+03", "6.466E+03", "1.52"
"MgO*ZnO", "-3.620E+03", "3.099E+03", "-1.168"
"MgO*Fe2O3", "-2.966E+03", "3.167E+03", "-9.368E-01"
"MgO*ZrO2", "6.106E+04", "4.668E+04", "1.308"
"MgO*BaO", "-1.182E+03", "2.981E+03", "-3.966E-01"
"MgO*Li2O", "-1.012E+03", "6.444E+03", "-1.571E-01"
"MgO*K2O", "3.647E+04", "3.052E+04", "1.195"
"MgO*SrO", "-9.354E+03", "2.787E+03", "-3.356"
"MgO*Sb2O3", "7.162E+02", "2.946E+05", "2.431E-03"
"MgO*La2O3", "3.133E+03", "1.529E+04", "2.048E-01"
"MgO*TiO2", "-2.126E+04", "9.490E+03", "-2.24"
"MgO*P2O5", "-3.877E+03", "9.784E+02", "-3.962"
"MgO*Nb2O5", "2.256E+05", "1.203E+05", "1.876"
"CaO*Na2O", "5.186E+03", "1.153E+03", "4.496"
"CaO*ZnO", "1.179E+03", "1.709E+03", "6.898E-01"
"CaO*Fe2O3", "-2.045E+03", "1.049E+03", "-1.95"
"CaO*ZrO2", "1.388E+04", "2.495E+04", "5.564E-01"
"CaO*BaO", "-6.571E+02", "2.193E+03", "-2.996E-01"
"CaO*Li2O", "-6.475E+03", "2.561E+03", "-2.529"
"CaO*K2O", "-2.694E+03", "5.381E+03", "-5.007E-01"
"CaO*SrO", "3.628E+03", "1.729E+03", "2.099"
"CaO*Sb2O3", "-1.794E+05", "2.829E+05", "-6.341E-01"
"CaO*La2O3", "-8.137E+03", "1.300E+04", "-6.259E-01"
"CaO*TiO2", "-2.380E+03", "6.214E+03", "-3.831E-01"
"CaO*P2O5", "-7.913E+02", "2.837E+02", "-2.789"
"CaO*Nb2O5", "3.715E+04", "3.269E+04", "1.136"
"Na2O*ZnO", "-4.255E+02", "1.731E+03", "-2.457E-01"
"Na2O*Fe2O3", "-1.245E+03", "1.342E+03", "-9.281E-01"
"Na2O*ZrO2", "6.106E+04", "1.625E+04", "3.757"
"Na2O*BaO", "5.506E+03", "7.121E+03", "7.733E-01"
