No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Liquidus Temperature ( C ), Liquidus Temperature (Predictive Value), Liquidus Temperature (Residual)
3417, GP03-386115, European Patent    Jushi Group (CN), 2018, A3287423, 61.09, 11.65, 21.67, 3.12, 0.14, 1224.0, , 
3418, GP03-386116, European Patent    Jushi Group (CN), 2018, A3287423, 61.76, 11.6, 17.78, 5.94, 0.14, 1207.0, , 
3419, GP03-386117, European Patent    Jushi Group (CN), 2018, A3287423, 61.75, 11.6, 18.71, 4.94, 0.14, 1206.0, , 
3420, GP03-386118, European Patent    Jushi Group (CN), 2018, A3287423, 63.08, 11.34, 19.43, 2.25, 0.1, 1220.0, , 
3421, GP03-386119, European Patent    Jushi Group (CN), 2018, A3287423, 62.35, 10.84, 18.12, 5.46, 0.15, 1213.0, , 
3422, GP03-386120, European Patent    Jushi Group (CN), 2018, A3287423, 61.39, 11.6, 16.56, 6.8, 0.12, 1210.0, , 
3423, GP03-386121, European Patent    Jushi Group (CN), 2018, A3287423, 60.93, 12.64, 15.91, 6.63, 0.1, 1200.0, , 
3424, GP03-386122, European Patent    Jushi Group (CN), 2018, A3287423, 61.96, 10.81, 17.18, 6.51, 0.15, 1209.0, , 
3425, GP03-386123, European Patent    Jushi Group (CN), 2018, A3287423, 61.25, 11.62, 17.35, 6.75, 0.31, 1212.0, , 
3426, GP03-386124, European Patent    Jushi Group (CN), 2018, A3287423, 62.03, 11.54, 17.57, 5.42, 0.21, 1210.0, , 
3427, GP03-386125, European Patent    Jushi Group (CN), 2018, A3287423, 62.87, 10.92, 17.53, 5.46, 0.1, 1227.0, , 
3428, GP03-386126, European Patent    Jushi Group (CN), 2018, A3287423, 60.77, 12.8, 18.14, 4.65, 0.08, 1212.0, , 
3429, GP03-386127, European Patent    Jushi Group (CN), 2018, A3287423, 62.57, 11.68, 18.34, 4.36, 0.12, 1216.0, , 
3430, GP03-386128, European Patent    Jushi Group (CN), 2018, A3287423, 62.3, 11.36, 17.47, 5.5, 0.12, 1206.0, , 
3431, GP03-386129, European Patent    Jushi Group (CN), 2018, A3287423, 61.1, 11.45, 18.74, 5.9, 0.15, 1205.0, , 
3432, GP03-386151, European Patent    Jushi Group (CN), 2018, A3287425, 62.12, 9.39, 13.16, 13.05, 0.21, 1198.0, , 
3433, GP03-386152, European Patent    Jushi Group (CN), 2018, A3287425, 61.58, 9.4, 13.79, 12.85, 0.21, 1200.0, , 
3434, GP03-386153, European Patent    Jushi Group (CN), 2018, A3287425, 61.51, 9.39, 13.08, 12.96, 0.21, 1197.0, , 
3435, GP03-386154, European Patent    Jushi Group (CN), 2018, A3287425, 60.93, 9.6, 12.52, 14.54, 0.25, 1196.0, , 
3436, GP03-386155, European Patent    Jushi Group (CN), 2018, A3287425, 62.15, 9.33, 12.78, 13.18, 0.21, 1196.0, , 
3437, GP03-386156, European Patent    Jushi Group (CN), 2018, A3287425, 61.57, 9.16, 12.64, 14.28, 0.21, 1198.0, , 
3438, GP03-386157, European Patent    Jushi Group (CN), 2018, A3287425, 61.1, 9.17, 12.5, 14.94, 0.21, 1200.0, , 
3439, GP02-386205, European Patent    AGC Glass Europe (BE), 2016, AW177592, 70.35, 1.15, 10.91, 3.14, 14.19, 958.0, , 
3440, GP03-386206, European Patent    AGC Glass Europe (BE), 2016, AW177592, 70.19, 1.33, 9.83, 4.53, 12.97, 968.0, , 
3441, GP02-386207, European Patent    AGC Glass Europe (BE), 2016, AW177592, 68.68, 1.72, 13.34, 0.63, 15.37, 989.0, , 
3442, GP02-386208, European Patent    AGC Glass Europe (BE), 2016, AW177592, 68.8, 1.68, 13.44, 0.63, 14.44, 1028.0, , 
3443, GP02-386211, European Patent    AGC Glass Europe (BE), 2016, AW177592, 69.47, 1.8, 10.58, 3.59, 13.19, 986.0, , 
3444, GP02-386212, European Patent    AGC Glass Europe (BE), 2016, AW177592, 71.5, 0.63, 12.82, 0.31, 14.33, 989.0, , 
3445, GP02-386213, European Patent    AGC Glass Europe (BE), 2016, AW177592, 71.1, 0.68, 12.76, 0.41, 14.27, 990.0, , 
3446, GP02-386214, European Patent    AGC Glass Europe (BE), 2016, AW177592, 70.86, 0.63, 9.97, 3.74, 14.0, 932.0, , 
3447, GP03-386294, European Patent    Jushi Group (CN), 2018, A3299348, 61.23, 9.29, 11.13, 17.0, 0.33, 1197.0, , 
3448, GP03-386295, European Patent    Jushi Group (CN), 2018, A3299348, 61.34, 9.16, 10.97, 16.87, 0.22, 1195.0, , 
3449, GP03-386297, European Patent    Jushi Group (CN), 2018, A3299348, 59.34, 8.37, 12.1, 17.5, 0.19, 1190.0, , 
3450, GP03-386298, European Patent    Jushi Group (CN), 2018, A3299348, 59.45, 8.32, 12.31, 17.81, 0.19, 1192.0, , 
3451, GP03-386299, European Patent    Jushi Group (CN), 2018, A3299348, 59.44, 9.97, 10.51, 18.12, 0.23, 1194.0, , 
3452, GP03-386300, European Patent    Jushi Group (CN), 2018, A3299348, 62.22, 9.71, 10.74, 15.57, 0.21, 1194.0, , 
3453, GP03-386301, European Patent    Jushi Group (CN), 2018, A3299348, 60.76, 8.61, 10.51, 17.38, 0.49, 1195.0, , 
3454, GP02-386331, European Patent    AGC Glass Europe (BE), 2016, AW198249, 71.47, 0.65, 6.27, 7.61, 10.87, 988.0, , 
3455, GP02-386333, European Patent    AGC Glass Europe (BE), 2016, AW198249, 71.32, 0.65, 6.28, 7.63, 10.88, 988.0, , 
3456, GP02-386398, European Patent    Corning Inc. (US), 2016, AW210244, 64.16, 11.94, 5.13, , 16.8, 975.0, , 
3457, GJ06-387185, J. Non-Crystalline Solids, 2019, v. 505  p. 0320, 54.64, 21.04, 19.99, 0.14, , 1450.0, , 
3458, GP03-387515, US Patent    Jushi Group (CN), 2017, A0283309, 60.62, 9.31, 13.51, 12.99, 0.2, 1196.0, , 
3459, GP03-387516, US Patent    Jushi Group (CN), 2017, A0283309, 61.68, 9.39, 13.63, 13.11, 0.2, 1197.0, , 
3460, GP03-387517, US Patent    Jushi Group (CN), 2017, A0283309, 60.34, 9.19, 11.47, 16.81, 0.2, 1196.0, , 
3461, GP03-387518, US Patent    Jushi Group (CN), 2017, A0283309, 60.84, 9.32, 11.41, 16.52, 0.2, 1195.0, , 
3462, GP03-387519, US Patent    Jushi Group (CN), 2017, A0283309, 60.46, 9.32, 13.0, 15.32, 0.2, 1194.0, , 
3463, GP03-387520, US Patent    Jushi Group (CN), 2017, A0283309, 60.79, 9.33, 13.56, 13.02, 0.2, 1196.0, , 
3464, GP03-387521, US Patent    Jushi Group (CN), 2017, A0283309, 61.12, 9.31, 13.52, 12.99, 0.2, 1195.0, , 
3465, GP03-387522, US Patent    Jushi Group (CN), 2017, A0283309, 61.68, 9.39, 13.63, 13.11, 0.2, 1197.0, , 
3466, GP03-387523, US Patent    Jushi Group (CN), 2017, A0283309, 60.34, 9.19, 11.47, 16.81, 0.2, 1196.0, , 
3467, GP03-387524, US Patent    Jushi Group (CN), 2017, A0283309, 60.57, 9.22, 11.51, 16.88, 0.2, 1196.0, , 
3468, GP03-387525, US Patent    Jushi Group (CN), 2017, A0283309, 60.74, 9.25, 11.55, 16.92, 0.2, 1196.0, , 
3469, GP03-387526, US Patent    Jushi Group (CN), 2017, A0283309, 60.84, 9.26, 11.56, 16.96, 0.2, 1198.0, , 
3470, GP03-387527, US Patent    Jushi Group (CN), 2017, A0283309, 60.78, 9.25, 14.14, 12.67, 0.2, 1201.0, , 
3471, GP03-387528, US Patent    Jushi Group (CN), 2017, A0283309, 60.92, 9.28, 11.58, 16.97, 0.3, 1201.0, , 
3472, GP03-387530, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 72.34, 13.59, 14.07, , , 1437.0, , 
3473, GP03-387531, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 69.53, 13.45, 17.02, , , 1425.0, , 
3474, GP03-387535, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 73.07, 12.92, 14.01, , , 1425.0, , 
3475, GP03-387536, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 66.06, 13.18, 16.67, , , 1353.0, , 
3476, GP03-387539, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 71.73, 11.47, 16.8, , , 1424.0, , 
3477, GP03-387540, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 68.48, 12.28, 15.16, , , 1347.0, , 
3478, GP03-387541, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 68.91, 12.31, 15.2, , , 1363.0, , 
3479, GP03-387542, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 69.18, 12.05, 14.69, , , 1333.0, , 
3480, GP03-387543, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 68.74, 12.02, 14.66, , , 1315.0, , 
3481, GP03-387544, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 75.95, 8.95, 12.08, , 0.98, 1328.0, , 
3482, GP03-387545, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 67.84, 12.11, 13.79, 2.2, 1.99, 1498.0, , 
3483, GP03-387548, US Patent    OCV Intellectual Capital (US), 2017, A0283310, 75.76, 9.05, 12.21, , 2.98, 1471.0, , 
3484, GP06-387593, US Patent    Corning Inc. (US), 2017, A0297957, 59.92, 15.98, 8.08, 0.09, 15.77, 1250.0, , 
3485, GP06-387594, US Patent    Corning Inc. (US), 2017, A0297957, 56.62, 18.63, 8.94, 0.09, 15.55, 1385.0, , 
3486, GP06-387595, US Patent    Corning Inc. (US), 2017, A0297957, 54.64, 21.33, 7.99, 0.09, 15.78, 1385.0, , 
3487, GP06-387596, US Patent    Corning Inc. (US), 2017, A0297957, 52.02, 23.97, 7.93, 0.09, 15.82, 1385.0, , 
3488, GP06-387601, US Patent    Corning Inc. (US), 2017, A0297957, 59.83, 16.01, 0.13, 8.08, 15.79, 1155.0, , 
3489, GP06-387602, US Patent    Corning Inc. (US), 2017, A0297957, 57.18, 18.71, 0.13, 8.15, 15.68, 1245.0, , 
3490, GP06-387603, US Patent    Corning Inc. (US), 2017, A0297957, 54.26, 21.34, 0.13, 8.4, 15.7, 1300.0, , 
3491, GP06-387604, US Patent    Corning Inc. (US), 2017, A0297957, 51.82, 23.97, 0.13, 8.11, 15.81, 1295.0, , 
3492, GP06-387605, US Patent    Corning Inc. (US), 2017, A0297957, 59.85, 15.97, 1.65, 6.52, 15.85, 1150.0, , 
3493, GP06-387606, US Patent    Corning Inc. (US), 2017, A0297957, 59.81, 16.02, 3.41, 4.9, 15.7, 1160.0, , 
3494, GP06-387607, US Patent    Corning Inc. (US), 2017, A0297957, 59.73, 16.0, 5.14, 3.23, 15.75, 1150.0, , 
3495, GP06-387608, US Patent    Corning Inc. (US), 2017, A0297957, 59.91, 15.99, 5.76, 2.4, 15.79, 1160.0, , 
3496, GP06-387609, US Patent    Corning Inc. (US), 2017, A0297957, 60.11, 15.96, 6.39, 1.57, 15.82, 1190.0, , 
3497, GP06-387610, US Patent    Corning Inc. (US), 2017, A0297957, 59.93, 15.98, 7.33, 0.78, 15.83, 1240.0, , 
3498, GP03-387613, US Patent    PPG Industries (US), 2017, A0305782, 61.93, 9.17, 10.4, 16.57, 0.06, 1213.0, , 
3499, GP03-387614, US Patent    PPG Industries (US), 2017, A0305782, 61.92, 9.17, 10.4, 16.57, 0.06, 1219.0, , 
3500, GP03-387616, US Patent    PPG Industries (US), 2017, A0305782, 62.16, 8.8, 9.3, 19.16, 0.06, 1214.0, , 
3501, GP03-387617, US Patent    PPG Industries (US), 2017, A0305782, 62.1, 8.95, 10.01, 18.36, 0.06, 1213.0, , 
3502, GP03-387618, US Patent    PPG Industries (US), 2017, A0305782, 62.0, 9.03, 10.22, 18.18, 0.06, 1213.0, , 
3503, GP03-387619, US Patent    PPG Industries (US), 2017, A0305782, 62.01, 9.08, 10.54, 17.8, 0.06, 1213.0, , 
3504, GP03-387620, US Patent    PPG Industries (US), 2017, A0305782, 61.28, 9.02, 10.58, 17.51, 0.06, 1211.0, , 
3505, GP03-387621, US Patent    PPG Industries (US), 2017, A0305782, 61.28, 9.04, 10.74, 17.25, 0.07, 1211.0, , 
3506, GP03-387622, US Patent    PPG Industries (US), 2017, A0305782, 61.16, 9.02, 10.75, 17.23, 0.07, 1207.0, , 
3507, GP03-387623, US Patent    PPG Industries (US), 2017, A0305782, 61.8, 9.1, 10.31, 16.84, 0.08, 1204.0, , 
3508, GP03-387624, US Patent    PPG Industries (US), 2017, A0305782, 61.83, 9.1, 10.18, 16.88, 0.08, 1203.0, , 
3509, GP03-387625, US Patent    PPG Industries (US), 2017, A0305782, 61.78, 9.1, 10.16, 16.93, 0.08, 1204.0, , 
3510, GP03-387626, US Patent    PPG Industries (US), 2017, A0305782, 61.83, 9.1, 10.16, 16.9, 0.08, 1204.0, , 
3511, GP03-387849, US Patent    PPG Industries (US), 2018, A9944551, 64.03, 15.7, 10.01, 7.45, 0.09, 1300.0, , 
3512, GP06-387855, US Patent    PPG Industries (US), 2018, A9944551, 64.15, 18.98, 10.74, 1.71, 0.42, 1447.0, , 
3513, GP03-387912, US Patent    PPG Industries (US), 2018, A9957191, 62.1, 9.8, 13.3, 10.73, 0.19, 1355.0, , 
3514, GP03-387913, US Patent    PPG Industries (US), 2018, A9957191, 62.57, 9.88, 13.39, 10.81, 0.19, 1194.0, , 
3515, GP03-387914, US Patent    PPG Industries (US), 2018, A9957191, 64.72, 11.15, 11.52, 8.66, 0.2, 1193.0, , 
3516, GP03-387916, US Patent    PPG Industries (US), 2018, A9957191, 66.56, 9.41, 13.2, 6.45, 0.19, 1260.0, , 
3517, GP03-387917, US Patent    PPG Industries (US), 2018, A9957191, 63.08, 10.8, 17.71, 5.65, 1.15, 1268.0, , 
3518, GP03-387918, US Patent    PPG Industries (US), 2018, A9957191, 62.31, 10.64, 16.93, 7.12, 0.17, 1232.0, , 
3519, GP03-387919, US Patent    PPG Industries (US), 2018, A9957191, 62.83, 10.82, 16.91, 7.05, 0.02, 1276.0, , 
3520, GP03-387920, US Patent    PPG Industries (US), 2018, A9957191, 62.45, 10.67, 16.8, 6.61, 0.04, 1237.0, , 
3521, GP03-387921, US Patent    PPG Industries (US), 2018, A9957191, 62.04, 10.1, 17.84, 5.97, 0.05, 1252.0, , 
3522, GP03-387923, US Patent    PPG Industries (US), 2018, A9957191, 62.55, 10.69, 16.83, 6.62, 0.04, 1240.0, , 
3523, GP03-387924, US Patent    PPG Industries (US), 2018, A9957191, 63.11, 11.33, 15.94, 6.11, 0.04, 1233.0, , 
3524, GP03-387925, US Patent    PPG Industries (US), 2018, A9957191, 64.21, 11.27, 15.83, 5.15, 0.04, 1240.0, , 
3525, GP03-387927, US Patent    PPG Industries (US), 2018, A9957191, 61.99, 9.0, 12.01, 12.4, , 1462.0, , 
3526, GP03-387928, US Patent    PPG Industries (US), 2018, A9957191, 65.66, 9.91, 16.49, 4.91, 0.04, 1267.0, , 
3527, GP03-387930, US Patent    PPG Industries (US), 2018, A9957191, 64.18, 10.71, 18.62, 4.15, 0.03, 1276.0, , 
3528, GP03-387932, US Patent    PPG Industries (US), 2018, A9957191, 67.6, 10.83, 18.74, 0.12, 0.03, 1391.0, , 
3529, GP03-387937, US Patent    PPG Industries (US), 2018, A9957191, 64.13, 10.95, 14.42, 6.37, 0.05, 1188.0, , 
3530, GP03-387938, US Patent    PPG Industries (US), 2018, A9957191, 63.68, 9.4, 13.83, 8.86, 0.04, 1219.0, , 
3531, GP02-388243, US Patent    Corning Inc. (US), 2018, A0022636, 60.0, 16.0, 3.0, , 16.0, 960.0, , 
3532, GP02-388245, US Patent    Corning Inc. (US), 2018, A0022636, 62.0, 15.0, 3.0, , 15.0, 1100.0, , 
3533, GP06-388265, US Patent    Corning Inc. (US), 2018, A0022637, 60.0, 16.0, 3.0, , 16.0, 960.0, , 
3534, GP02-388270, US Patent    Corning Inc. (US), 2018, A0022637, 60.7, 15.4, 2.9, 0.1, 15.9, 995.0, , 
3535, GP02-388654, Japanese Patent    AGC (J), 2018, A035066, 64.0, 12.0, 8.0, , 15.0, 1255.0, , 
3536, GP02-388657, Japanese Patent    AGC (J), 2018, A035066, 64.5, 12.0, 8.0, , 15.0, 1255.0, , 
3537, GP02-388658, Japanese Patent    AGC (J), 2018, A035066, 64.0, 12.0, 8.0, , 15.5, 1245.0, , 
3538, GP02-388659, Japanese Patent    AGC (J), 2018, A035066, 64.5, 11.5, 8.0, , 15.0, 1235.0, , 
3539, GP02-388660, Japanese Patent    AGC (J), 2018, A035066, 65.0, 12.5, 8.0, , 14.0, 1250.0, , 
3540, GP02-388661, Japanese Patent    AGC (J), 2018, A035066, 64.6, 12.1, 8.0, , 14.6, 1250.0, , 
3541, GP02-389358, Japanese Patent    Nippon Electric Glass (J), 2018, A095544, 68.6, 10.32, 5.53, 0.07, 15.32, 1045.0, , 
3542, GP02-389361, Japanese Patent    Nippon Electric Glass (J), 2018, A095544, 65.69, 8.08, 9.9, 0.25, 11.56, 1107.0, , 
3543, GP03-389425, Japanese Patent    Jushi Group (CN), 2018, A502037, 61.6, 9.31, 13.82, 12.44, 0.21, 1192.0, , 
3544, GP03-389426, Japanese Patent    Jushi Group (CN), 2018, A502037, 62.03, 9.59, 13.57, 12.42, 0.24, 1194.0, , 
3545, GP03-389427, Japanese Patent    Jushi Group (CN), 2018, A502037, 61.51, 9.37, 13.71, 12.04, 0.24, 1190.0, , 
3546, GP03-389428, Japanese Patent    Jushi Group (CN), 2018, A502037, 61.23, 9.58, 12.89, 12.68, 0.22, 1196.0, , 
3547, GP03-389429, Japanese Patent    Jushi Group (CN), 2018, A502037, 62.21, 9.13, 13.87, 12.68, 0.23, 1193.0, , 
3548, GP03-389430, Japanese Patent    Jushi Group (CN), 2018, A502037, 61.61, 9.43, 13.67, 12.66, 0.2, 1194.0, , 
3549, GP03-389431, Japanese Patent    Jushi Group (CN), 2018, A502037, 61.29, 9.36, 13.9, 11.64, 0.4, 1193.0, , 
3550, GP03-389432, Japanese Patent    Jushi Group (CN), 2018, A502037, 62.2, 9.21, 13.16, 12.28, 0.21, 1188.0, , 
3551, GP03-389433, Japanese Patent    Jushi Group (CN), 2018, A502037, 61.59, 9.23, 14.4, 11.98, 0.25, 1191.0, , 
3552, GP03-389434, Japanese Patent    Jushi Group (CN), 2018, A502037, 60.77, 10.25, 13.8, 12.28, 0.4, 1194.0, , 
3553, GP03-389435, Japanese Patent    Jushi Group (CN), 2018, A502037, 61.57, 9.37, 13.6, 12.56, 0.24, 1191.0, , 
3554, GJ03-390184, J. Non-Crystalline Solids, 2019, v. 510  p. 0158, 50.0, , , 50.0, , 1540.0, , 
3555, GP02-390731, Japanese Patent    AGC (J), 2016, AW002888, 67.16, 3.32, 10.94, 1.08, 16.18, 960.0, , 
3556, GP02-390732, Japanese Patent    AGC (J), 2016, AW002888, 66.97, 3.42, 13.93, 0.32, 15.36, 1120.0, , 
3557, GP02-390733, Japanese Patent    AGC (J), 2016, AW002888, 66.95, 3.42, 13.21, 1.05, 15.37, 1030.0, , 
3558, GP02-390734, Japanese Patent    AGC (J), 2016, AW002888, 66.96, 3.43, 12.07, 2.12, 15.42, 1040.0, , 
3559, GP02-390735, Japanese Patent    AGC (J), 2016, AW002888, 66.99, 3.44, 11.36, 2.86, 15.35, 1050.0, , 
3560, GP02-390736, Japanese Patent    AGC (J), 2016, AW002888, 66.96, 3.45, 9.92, 4.26, 15.41, 1080.0, , 
3561, GP02-390737, Japanese Patent    AGC (J), 2016, AW002888, 64.94, 3.09, 13.87, 1.06, 16.12, 1030.0, , 
3562, GP02-390738, Japanese Patent    AGC (J), 2016, AW002888, 67.24, 2.56, 11.32, 4.01, 14.24, 1060.0, , 
3563, GP02-390739, Japanese Patent    AGC (J), 2016, AW006538, 68.52, 2.92, 6.12, 7.78, 14.18, 1025.0, , 
3564, GP03-390765, Japanese Patent    AGC (J), 2016, AW017558, 71.62, 1.82, , 13.22, 10.96, 1120.0, , 
3565, GP03-390766, Japanese Patent    AGC (J), 2016, AW017558, 75.86, 0.62, , 9.05, 11.16, 1078.0, , 
3566, GP03-390768, Japanese Patent    AGC (J), 2016, AW017558, 71.33, 0.6, 4.55, 9.26, 11.34, 1000.0, , 
3567, GP03-390775, Japanese Patent    AGC (J), 2016, AW017558, 73.68, 1.87, , 9.06, 11.27, 1020.0, , 
3568, GP03-390776, Japanese Patent    AGC (J), 2016, AW017558, 73.6, 2.86, , 9.05, 11.36, 1017.0, , 
3569, GP03-390777, Japanese Patent    AGC (J), 2016, AW017558, 73.58, 3.3, , 9.06, 11.36, 1024.0, , 
3570, GP03-390780, Japanese Patent    AGC (J), 2016, AW017558, 73.45, 2.61, , 9.03, 11.63, 1020.0, , 
3571, GP02-390786, Japanese Patent    AGC (J), 2016, AW017558, 67.95, 10.02, 7.98, , 14.05, 1220.0, , 
3572, GP02-390828, Japanese Patent    Nippon Electric Glass (J), 2016, AW035674, 68.2, 4.92, , 3.58, 22.47, 852.0, , 
3573, GP02-390839, Japanese Patent    Nippon Electric Glass (J), 2016, AW035674, 64.82, 7.01, 3.01, 3.0, 20.01, 908.0, , 
3574, GP03-391325, Japanese Patent    AvanStrate (J), 2017, A182856, 71.7, 11.1, , 16.1, , 1331.0, , 
3575, GP03-391618, Japanese Patent    AGC (J), 2016, AW190303, 73.5, 1.7, 15.0, , 6.2, 1240.0, , 
3576, GP03-391838, Japanese Patent    Others, 2018, A516835, 59.02, 10.8, 10.47, 15.38, 0.5, 1187.0, , 
3577, GP03-391839, Japanese Patent    Others, 2018, A516835, 63.62, 8.47, 9.18, 17.16, 0.009947, 1195.0, , 
3578, GP03-391840, Japanese Patent    Others, 2018, A516835, 60.62, 8.72, 10.47, 18.04, 0.12, 1187.0, , 
3579, GP03-391841, Japanese Patent    Others, 2018, A516835, 63.0, 10.35, 8.93, 15.71, 0.21, 1196.0, , 
3580, GP03-391842, Japanese Patent    Others, 2018, A516835, 59.75, 9.93, 10.66, 15.87, 0.5, 1190.0, , 
3581, GP03-391843, Japanese Patent    Others, 2018, A516835, 59.2, 8.56, 11.67, 18.12, 0.1, 1190.0, , 
3582, GP03-391844, Japanese Patent    Others, 2018, A516835, 61.42, 8.99, 9.47, 16.45, 0.49, 1196.0, , 
3583, GP03-391846, Japanese Patent    Others, 2018, A516835, 60.18, 8.35, 10.55, 18.97, 0.4, 1194.0, , 
3584, GP03-391848, Japanese Patent    Others, 2018, A516835, 61.08, 9.11, 11.36, 16.45, 0.43, 1193.0, , 
3585, GP03-391849, Japanese Patent    Others, 2018, A516835, 60.53, 9.13, 10.32, 18.12, 0.5, 1195.0, , 
3586, GP03-391852, Japanese Patent    Others, 2018, A516835, 61.72, 9.98, 10.71, 15.52, 0.48, 1195.0, , 
3587, GP03-391853, Japanese Patent    Others, 2018, A516835, 60.16, 8.98, 12.12, 17.53, 0.42, 1192.0, , 
3588, GP03-391854, Japanese Patent    Others, 2018, A516835, 60.16, 9.61, 11.41, 16.82, 0.49, 1192.0, , 
3589, GP03-391856, Japanese Patent    Others, 2018, A516835, 60.71, 9.43, 10.94, 16.92, 0.55, 1195.0, , 
3590, GP03-391857, Japanese Patent    Others, 2018, A516835, 61.09, 9.1, 11.37, 16.45, 0.43, 1193.0, , 
3591, GP06-391931, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 85.6, 9.93, , , , 1515.0, , 
3592, GP03-391933, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 69.94, 12.7, , 17.32, , 1509.0, , 
3593, GP03-391934, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 73.7, 9.32, , 16.94, , 1403.0, , 
3594, GP03-391936, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 71.33, 9.02, 11.41, 8.2, , 1377.0, , 
3595, GP03-391937, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 75.25, 9.52, 12.03, , , 1354.0, , 
3596, GP03-391940, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 73.97, 9.36, 7.89, 5.67, , 1329.66, , 
3597, GP03-391942, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 70.57, 8.93, 15.05, 5.41, , 1407.6, , 
3598, GP03-391943, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 73.08, 9.24, 15.59, , , 1383.81, , 
3599, GP03-391944, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 75.08, 9.5, 11.21, , , 1341.0, , 
3600, GP03-391945, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 73.83, 9.34, 3.94, 11.32, , 1334.11, , 
3601, GP03-391946, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 76.19, 9.64, 4.06, 5.84, , 1344.0, , 
3602, GP03-391947, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 74.87, 9.47, 11.97, , , 1364.0, , 
3603, GP03-391948, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 76.11, 9.62, 8.11, 2.92, , 1323.0, , 
3604, GP03-391949, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 76.06, 9.62, 5.68, 5.83, , 1278.0, , 
3605, GP03-391950, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 76.46, 8.9, 8.04, 2.89, , 1290.0, , 
3606, GP03-391951, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 74.97, 10.26, 8.11, 2.91, , 1373.0, , 
3607, GP03-391952, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 76.81, 8.94, 5.65, 5.8, , 1274.0, , 
3608, GP03-391953, Japanese Patent    Nippon Electric Glass (J), 2016, AW159344, 75.31, 10.31, 5.7, 5.86, , 1371.0, , 
3609, GP02-392063, European Patent    AGC Glass Europe (BE), 2015, AW150207, 70.35, 1.15, 10.91, 3.14, 14.19, 958.0, , 
3610, GP03-392064, European Patent    AGC Glass Europe (BE), 2015, AW150207, 70.19, 1.33, 9.83, 4.53, 12.97, 968.0, , 
3611, GP02-392065, European Patent    AGC Glass Europe (BE), 2015, AW150207, 68.79, 1.72, 13.21, 0.63, 15.39, 989.0, , 
3612, GP02-392066, European Patent    AGC Glass Europe (BE), 2015, AW150207, 68.8, 1.68, 13.44, 0.63, 14.44, 1028.0, , 
3613, GP03-392215, European Patent    Jushi Group (CN), 2017, A3181530, 61.8, 9.41, 12.75, 11.92, 0.2, 1198.0, , 
3614, GP03-392216, European Patent    Jushi Group (CN), 2017, A3181530, 61.56, 9.27, 12.34, 12.42, 0.2, 1196.0, , 
3615, GP03-392217, European Patent    Jushi Group (CN), 2017, A3181530, 61.45, 9.34, 15.34, 9.16, 0.2, 1195.0, , 
3616, GP03-392218, European Patent    Jushi Group (CN), 2017, A3181530, 61.08, 9.33, 15.71, 9.09, 0.15, 1193.0, , 
3617, GP03-392219, European Patent    Jushi Group (CN), 2017, A3181530, 61.59, 9.79, 13.0, 11.35, 0.2, 1193.0, , 
3618, GP03-392220, European Patent    Jushi Group (CN), 2017, A3181530, 61.81, 8.76, 13.14, 12.08, 0.2, 1195.0, , 
3619, GP03-392224, European Patent    Jushi Group (CN), 2017, A3181530, 61.18, 9.39, 13.33, 12.23, 0.2, 1196.0, , 
3620, GP03-392378, US Patent    Jushi Group (CN), 2018, A0086661, 60.53, 9.13, 10.32, 18.12, 0.5, 1195.0, , 
3621, GP03-392381, US Patent    Jushi Group (CN), 2018, A0086661, 61.85, 9.29, 10.29, 15.52, 0.61, 1193.0, , 
3622, GP03-392382, US Patent    Jushi Group (CN), 2018, A0086661, 61.72, 9.98, 10.71, 15.52, 0.48, 1195.0, , 
3623, GP03-392383, US Patent    Jushi Group (CN), 2018, A0086661, 60.16, 8.98, 12.12, 17.53, 0.42, 1192.0, , 
